Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.404686095222594,14.7,2.076497963496617,33.0
2,1.6603484153747559,45.1,1.0914590443883623,80.0
3,0.7555348494696239,75.2,0.41282241685049875,89.0
4,0.3981145133101751,86.6,0.266651770898274,90.0
5,0.3252274952237568,88.9,0.23213504520910128,91.0
6,0.13849915079181158,95.4,0.17958875319787435,93.0
7,0.11315889999506966,95.9,0.17780056037008762,91.0
8,0.06839626495327268,97.9,0.1824807067002569,92.0
9,0.08285032390128999,97.4,0.21606265168104852,91.0
10,0.06346899353795582,98.2,0.2437077420098441,92.0
