Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.088757411956787,27.9,1.1581153273582458,69.0
2,0.6729457490444183,77.4,0.525338779275234,86.0
3,0.38410365068912505,87.3,0.3814075216740513,89.0
4,0.38140611732006074,91.1,0.6024178826035216,86.0
5,0.4155479611158371,90.9,0.6365340659950701,84.0
6,0.08624576139450073,98.1,0.5532647408865242,86.0
7,0.033860506653785705,99.2,0.4751695812630207,90.0
8,0.016202044129371644,99.6,0.635198590537361,90.0
9,0.012256957292556762,99.8,0.5898570607034492,91.0
10,0.00518679690361023,99.7,0.685810652006248,89.0
