Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1.1040837352275847,62.7,0.36729554988246843,89.0
2,0.40045878148078917,88.0,0.31118884621761167,88.0
3,0.20209682691097258,93.5,0.5129215608392139,86.0
4,0.20514077985286713,96.4,0.5216894061271048,89.0
5,0.2533219611644745,96.7,0.5115696743968539,92.0
6,0.04313629984855652,99.0,0.3713885955747588,94.0
7,0.024138404726982116,99.5,0.6058440602371997,91.0
8,0.013291548371315003,99.6,0.47852599159355474,93.0
9,0.02952084028720856,99.6,0.5643756418237619,92.0
10,0.02523217308521271,99.6,0.43289012741185545,92.0
