Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,0.9685686013698578,66.2,0.774909347508443,77.0
2,0.5351796786785126,85.0,0.9023384366698267,72.0
3,0.660088540315628,84.4,0.8645471259951591,74.0
4,0.4652934168577194,86.6,0.8990978199567158,83.0
5,0.6412784045934677,92.8,1.4004626278605987,81.0
6,0.15124842023849489,98.0,1.0343217918142893,86.0
7,0.03184023320674896,99.6,1.0553364425804124,90.0
8,0.0054455620050430295,99.7,0.9467601397066119,92.0
9,0.001679271101951599,100.0,1.1559177311224071,90.0
10,0.0051009032726287845,99.9,1.2916043227529512,90.0
