Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1.004314215540886,66.9,0.5277274429502611,81.0
2,0.5757827544212342,84.7,0.5861689166447377,83.0
3,0.4650209457874298,89.4,0.7089665871893746,83.0
4,0.5509355549812317,93.5,2.28327461850624,76.0
5,0.42380440306663514,94.8,5.585752660145177,70.0
6,0.11944979798793792,98.6,0.7922435763903283,90.0
7,0.0016553021669387818,99.9,1.0170141026588122,90.0
8,0.02419039261341095,99.8,1.0886430953704311,86.0
9,1.8634915351867676e-05,100.0,1.0788882052834547,86.0
10,4.172325134277344e-09,100.0,1.3289041083592623,83.0
