Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1.2336327551849304,56.8,0.38691334213529316,87.0
2,0.33892725597298334,88.3,0.232980483344623,89.0
3,0.19439090433574857,93.8,0.18535623087414674,94.0
4,0.1376664891602501,95.9,0.22568343207240105,89.0
5,0.07920415995139925,97.4,0.34284096957916127,92.0
6,0.053370110572330536,98.3,0.2116449861995144,91.0
7,0.03723376622748754,99.1,0.2268087690764722,94.0
8,0.04066162911199388,99.1,0.25654612511945224,92.0
9,0.03601937516341134,98.9,0.237809833650577,92.0
10,0.013966335663719782,99.4,0.22149420663949318,92.0
