Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,0.9129313828926238,68.4,0.5313294593776975,80.0
2,0.6355847583876716,81.4,0.5585321547197444,77.0
3,0.4286561238150748,87.3,0.3346596687499966,88.0
4,0.2709792499977445,93.1,0.846323202763285,83.0
5,0.2683101848713935,94.8,0.7329229563474655,82.0
6,0.016936839691230228,99.5,0.4962638887643282,91.0
7,0.0030439428630329316,99.9,0.6597364633344114,90.0
8,0.0005791843647048587,100.0,0.7456136920428824,90.0
9,2.861141212402828e-06,100.0,0.8144630456226878,90.0
10,6.1574909422132705e-06,100.0,0.830588168329801,90.0
