Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1.3406977988779545,52.1,0.5016968138515949,79.0
2,0.35356307588517666,89.0,0.25547182001173496,91.0
3,0.17669423029292375,93.8,0.1898080836981535,91.0
4,0.10682028578594327,97.1,0.339223985967692,81.0
5,0.07426707062404603,97.7,0.479040112344876,83.0
6,0.05147467472124845,98.5,0.27098278678022325,90.0
7,0.007470077485777438,99.8,0.3358544500079006,90.0
8,0.003629042417742312,99.8,0.38988674245774746,91.0
9,0.0005180049920454621,100.0,0.41811720305122435,91.0
10,0.01453265082091093,99.7,1.1992163062095642,86.0
