Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1.1419302404872955,61.0,0.4777749351092747,87.0
2,0.3946361454233291,87.9,0.42010110190936495,89.0
3,0.19901312331831644,93.7,0.23237730639188417,92.0
4,0.21056706801293387,95.8,1.2451686944280351,77.0
5,0.3159255487105203,92.6,0.4878545467342649,85.0
6,0.07995782591520793,98.2,0.5382214188575745,92.0
7,0.019332338774961138,99.5,0.43182131111461786,93.0
8,0.027038249231520154,99.7,0.7847006509463037,91.0
9,0.013238664302561019,99.9,0.8122660526605614,92.0
10,0.005946852385051667,99.9,0.897672952845044,90.0
