Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.4491755962371826,12.0,2.475316643714905,17.0
2,2.458416700363159,10.1,2.475310206413269,17.0
3,2.515599489212036,10.7,2.4753100275993347,17.0
4,2.446183681488037,11.0,2.4752991795539856,17.0
5,2.47556734085083,11.7,2.4752907156944275,17.0
6,2.483924388885498,10.2,2.4752904176712036,17.0
7,2.5048558712005615,11.3,2.475290298461914,17.0
8,2.4911000728607178,11.0,2.4752901196479797,17.0
9,2.4778409004211426,9.4,2.4752898812294006,17.0
10,2.4603233337402344,10.5,2.475289523601532,17.0
