Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1.259826509475708,59.8,0.5953383021629773,80.0
2,0.5463827998638153,84.1,0.5228901132797475,83.0
3,0.3941527158021927,89.6,0.623368720147902,85.0
4,0.3989333951473236,93.9,1.1444209706342707,85.0
5,0.5659937843084335,92.4,1.1175064179247924,86.0
6,0.07528175592422486,99.1,0.6339051282176572,91.0
7,0.0136543710231781,99.9,0.849079748035225,92.0
8,0.00827095925807953,99.8,1.3056057222687207,91.0
9,0.001523451805114746,99.9,1.4705742773586945,90.0
10,1.6224384307861327e-06,100.0,1.3565807926029942,90.0
