Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1.1701331502861447,60.7,0.4889566259724753,82.0
2,0.47237503564073924,84.9,0.33989366250378744,90.0
3,0.2878108753098382,92.2,0.5725435758275645,83.0
4,0.16959888665449052,93.6,0.45404573200929527,88.0
5,0.18588788109639334,96.1,0.31691892221403706,89.0
6,0.012306674250534602,99.7,0.600331648585471,91.0
7,0.004252262768291291,99.9,0.514652064868382,93.0
8,0.008134131866788108,99.8,0.6407216462705817,91.0
9,0.0005492915709813436,100.0,0.7404233524908445,94.0
10,5.076447176554847e-06,100.0,0.8634651196854455,93.0
