Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.303251266479492,9.3,2.300546884536743,10.0
2,2.3029022216796875,9.9,2.3004602193832397,10.0
3,2.302980422973633,9.8,2.30164897441864,10.0
4,2.3030166625976562,9.1,2.3021289110183716,10.0
5,2.3030014038085938,8.7,2.302604854106903,10.0
6,2.3027210235595703,9.3,2.3026060461997986,10.0
7,2.3026199340820312,10.8,2.3024500608444214,10.0
8,2.3026275634765625,9.2,2.3024399280548096,10.0
9,2.3026657104492188,8.7,2.302518904209137,10.0
10,2.302520751953125,10.5,2.302472770214081,10.0
