Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.3031664651537698,8.7,2.3035756179264615,10.0
2,2.303311786954365,9.7,2.304034471511841,10.0
3,2.3033505394345237,8.1,2.3035878113337924,10.0
4,2.3029668898809526,9.3,2.3026068891797746,10.0
5,2.303226531498016,8.7,2.302777256284441,10.0
6,2.302825443328373,9.4,2.302847351346697,10.0
7,2.3026374937996033,10.0,2.302764449800764,10.0
8,2.3025580512152777,9.1,2.3028249400002614,10.0
9,2.3028196304563493,10.1,2.3027612481798445,10.0
10,2.3025677393353177,9.9,2.302807126726423,10.0
