Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.302643306671627,9.9,2.301293509347098,10.0
2,2.3025328621031744,11.6,2.301229817526681,10.0
3,2.3027285621279763,8.6,2.301228863852365,10.0
4,2.3027111235119047,9.2,2.3013153757367815,10.0
5,2.3026878720238093,11.2,2.3016234806605746,10.0
6,2.3026510571676586,9.9,2.3016079493931363,10.0
7,2.3025464254712302,11.5,2.3016352312905446,10.0
8,2.3027576264880953,9.5,2.301666293825422,10.0
9,2.3026297433035716,8.5,2.3016883986336842,10.0
10,2.302461170014881,11.5,2.3016694954463413,10.0
