Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.3040542602539062,8.8,2.3001535534858704,10.0
2,2.303333282470703,8.8,2.3008822202682495,10.0
3,2.303192138671875,7.8,2.300432801246643,10.0
4,2.3032379150390625,7.6,2.301274836063385,10.0
5,2.3033084869384766,9.1,2.3012150526046753,10.0
6,2.3026351928710938,9.6,2.301273822784424,10.0
7,2.3026466369628906,10.1,2.3013100624084473,10.0
8,2.3026676177978516,10.1,2.3013237714767456,10.0
9,2.302572250366211,9.6,2.301344931125641,10.0
10,2.302722930908203,9.6,2.301382899284363,10.0
