Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.303005642361111,9.3,2.303458963121687,10.0
2,2.303561740451389,9.0,2.3029445580073764,10.0
3,2.3032730344742065,10.1,2.3029281071254184,10.0
4,2.3034222315228177,8.6,2.3028807640075684,10.0
5,2.303189716641865,9.3,2.3024656772613525,10.0
6,2.3027266245039684,10.4,2.3024519171033586,10.0
7,2.302765376984127,10.0,2.3024186066218784,10.0
8,2.3025464254712302,10.1,2.30236394064767,10.0
9,2.302796378968254,9.8,2.3023810046059743,10.0
10,2.3024379185267856,10.7,2.302407877785819,10.0
