Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.3032342819940474,10.6,2.302137408937727,10.0
2,2.3030347067212302,9.2,2.3027681282588413,10.0
3,2.302860320560516,10.1,2.3029640402112688,10.0
4,2.3028002542162698,10.4,2.3024000780923024,10.0
5,2.3029029482886907,9.5,2.3025525297437395,10.0
6,2.302430168030754,11.3,2.3025408472333635,10.0
7,2.302641369047619,9.6,2.3024959904806956,10.0
8,2.302554175967262,11.5,2.3025054931640625,10.0
9,2.3023817274305554,10.4,2.3025412218911305,10.0
10,2.3026026165674605,10.9,2.302569729941232,10.0
