Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.302499771118164,10.0,2.3039788603782654,10.0
2,2.3025875091552734,10.4,2.3039788603782654,10.0
3,2.302797317504883,10.1,2.3039788603782654,10.0
4,2.3026485443115234,9.8,2.3039788603782654,10.0
5,2.3024158477783203,10.1,2.3039788603782654,10.0
6,2.3026351928710938,10.4,2.3039788603782654,10.0
7,2.3024425506591797,10.7,2.3039788603782654,10.0
8,2.3024730682373047,10.4,2.3039788603782654,10.0
9,2.302661895751953,9.2,2.3039788603782654,10.0
10,2.3024539947509766,10.4,2.3039788603782654,10.0
