Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.31171875,12.6,2.281190578754132,18.0
2,2.195388671875,33.0,2.0869191334797788,53.0
3,1.725150390625,73.6,1.262503050840818,87.0
4,0.9046026916503906,85.6,0.4850398577176608,91.0
5,0.4514352874755859,90.5,0.2616283515324959,94.0
6,0.2811169204711914,93.6,0.23291247767897752,96.0
7,0.26829638671875,94.1,0.22505049579418623,93.0
8,0.2551654739379883,94.7,0.21022774895223287,97.0
9,0.2327097396850586,95.7,0.20498474329136884,95.0
10,0.2225245132446289,96.0,0.20033883647276804,95.0
