Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.3028268814086914,10.6,2.30308735370636,6.0
2,2.289801597595215,11.8,2.2865524888038635,9.0
3,2.2636709213256836,16.7,2.257540702819824,12.0
4,2.2271480560302734,23.1,2.230932593345642,19.0
5,2.1810808181762695,32.9,2.1879469752311707,32.0
6,2.1490354537963867,40.9,2.1859644651412964,32.0
7,2.142221450805664,42.0,2.1846967935562134,35.0
8,2.1329517364501953,45.9,2.1745173931121826,39.0
9,2.1198806762695312,47.3,2.1694859862327576,39.0
10,2.1145496368408203,48.4,2.156732439994812,41.0
