Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.0906565832713295,47.2,1.8228496994291032,81.0
2,1.325211903405568,85.2,0.8292758975710187,91.0
3,0.5755325801788814,91.6,0.353640510567597,94.0
4,0.28300937962910483,94.9,0.23413529566356114,97.0
5,0.15682702310501584,97.6,0.15710453210132463,96.0
6,0.10876249415533883,98.2,0.14141354829605138,97.0
7,0.10921070500025673,98.1,0.14052380940743855,97.0
8,0.0804204751574804,98.9,0.12342823389917612,97.0
9,0.06852950888966756,99.3,0.11748833714851312,99.0
10,0.06355959035101391,99.4,0.12889674345829658,96.0
