Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.1325770786830356,36.9,1.8766828264508928,78.0
2,1.4074428497798859,85.2,0.8537060788699559,90.0
3,0.607324963524228,93.8,0.3376021252146789,92.0
4,0.27388044766017366,96.2,0.22772140694516046,95.0
5,0.14005969819568453,97.9,0.16745213206325257,98.0
6,0.10601716665994554,97.8,0.16106798499822617,95.0
7,0.07928910354773204,99.4,0.16172745251762016,96.0
8,0.08767818316580757,98.7,0.15571090332897647,96.0
9,0.06256029932271867,99.2,0.12633978109806776,95.0
10,0.05313969486289554,99.3,0.13240277141864812,95.0
