Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1.9491157531738281,62.7,1.5241206586360931,85.0
2,1.0528583526611328,92.6,0.569064773619175,95.0
3,0.45768339931964874,94.8,0.3035317976027727,95.0
4,0.22500184178352356,97.3,0.197518153116107,94.0
5,0.1309962784871459,98.5,0.15218629594892263,95.0
6,0.07461102493107319,99.1,0.14596051443368196,99.0
7,0.0572288038674742,99.6,0.13544343458488584,96.0
8,0.05101243779063225,99.8,0.12833404052071273,97.0
9,0.035758439102210104,100.0,0.12250282126478851,94.0
10,0.03719697333872318,99.9,0.11572572076693177,97.0
