Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1.8758424072265625,56.6,0.7942427488473746,89.0
2,0.534278980255127,86.8,0.2799836637882086,91.0
3,0.2548715617656708,92.5,0.2650437083883354,92.0
4,0.19047659683227539,94.5,0.13062714213111365,95.0
5,0.1806090052127838,94.7,0.2999163091769263,91.0
6,0.14767927980422973,96.1,0.2622043088306852,94.0
7,0.061160300254821776,98.2,0.26468672157408524,95.0
8,0.05154958963394165,99.0,0.2381630579578856,93.0
9,0.05962599790096283,98.3,0.2901993269714204,94.0
