Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.1996192932128906,29.3,2.1011698842048645,61.0
2,1.933394432067871,71.7,1.8380126059055328,75.0
3,1.579592227935791,83.7,1.4519846737384796,80.0
4,1.1562710404396057,90.7,1.0202258974313736,85.0
5,0.78827303647995,93.4,0.6625435799360275,91.0
6,0.587449699640274,95.6,0.6744083613157272,89.0
7,0.5833591818809509,96.0,0.6383881568908691,91.0
8,0.5600157380104065,95.8,0.6310734525322914,88.0
9,0.5417417585849762,95.6,0.6189878582954407,92.0
10,0.5088359415531158,95.8,0.5786631554365158,91.0
