Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.302501678466797,10.9,2.3036953806877136,10.0
2,2.302724838256836,10.1,2.303758442401886,10.0
3,2.302581787109375,10.0,2.303731858730316,10.0
4,2.3026561737060547,10.1,2.3039759397506714,10.0
5,2.302766799926758,10.0,2.303997278213501,10.0
6,2.302722930908203,9.2,2.303946554660797,10.0
