Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.3038515625,9.2,2.3024511887476993,10.0
2,2.303615234375,7.3,2.3025727455432596,10.0
3,2.30362109375,8.5,2.3025616865891676,10.0
4,2.303765625,8.1,2.302397581247183,10.0
5,2.30344921875,8.4,2.3023896584144006,10.0
6,2.302732421875,10.9,2.302399048438439,10.0
